country,iso_code,date,Population,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
United States,USA,22/01/2021,328239523.00,19107959,16243093,2756953,1561585,975540,5.71,4.86,0.82,2917,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
United Kingdom,,22/01/2021,66834405.00,241016,240547,469,28284,15148,7.64,7.63,0.01,4804,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Albania,ALB,21/01/2021,2854191.00,549,549,,30,40,0.02,0.02,,14,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-702-te-vaksinuar-3035-testime-714-te-sheruar-631-raste-te-reja-dhe-17-humbje-jete-ne-24-oret-e-fundit/
Argentina,ARG,21/01/2021,44938712.00,265724,249372,16352,17791,11704,0.59,0.55,0.04,259,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Austria,AUT,21/01/2021,8877067.00,188427,184376,4051,19273,15486,2.09,2.05,0.04,1719,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
Azerbaijan,AZE,21/01/2021,10023318.00,,,,,3250,,,,321,Sinovac,Government of Azerbaijan,https://koronavirusinfo.az/az/post/696
Bahrain,BHR,21/01/2021,1501635.00,,,,,7712,,,,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Belarus,BLR,21/01/2021,9466856.00,,,,,403,,,,43,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belgium,BEL,21/01/2021,11484055.00,205415,204702,713,29974,16113,1.77,1.77,0.01,1390,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Bermuda,BMU,21/01/2021,63918.00,,,,,209,,,,3356,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/03/27727-total-vaccinations-administered/
Brazil,BRA,21/01/2021,212559417.00,136519,136519,,107976,27304,0.06,0.06,,128,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
Bulgaria,BGR,21/01/2021,6975761.00,25251,20719,4532,1124,1081,0.36,0.3,0.07,156,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Canada,CAN,21/01/2021,37589262.00,738864,675500,63364,42622,39910,1.96,1.79,0.17,1057,"Moderna, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Cayman Islands,CYM,21/01/2021,71100.00,,,,,275,,,,4184,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-news
Chile,CHL,21/01/2021,18952038.00,64917,56551,8366,3061,6610,0.34,0.3,0.04,346,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
China,CHN,21/01/2021,1397715000.00,,,,,770755,,,,535,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://global.chinadaily.com.cn/a/202103/03/WS603ec65ba31024ad0baac40f.html
Costa Rica,CRI,21/01/2021,5047561.00,,,,,2103,,,,413,Pfizer/BioNTech,Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Croatia,HRV,21/01/2021,4067500.00,,,,,3343,,,,814,Pfizer/BioNTech,Ministry of Health,https://www.rtl.hr/vijesti-hr/novosti/hrvatska/3994562/rtlhr-doznaje-evo-koliko-je-cijepljenih-u-hrvatskoj-i-kako-stojimo-u-odnosu-na-druge-zemlje/
Cyprus,CYP,21/01/2021,1198575.00,,,,,966,,,,1103,Pfizer/BioNTech,Government of Cyprus,https://www.pio.gov.cy/coronavirus/uploads/08032021--%CE%A1%CE%B1%CE%BD%CF%84%CE%B5%CE%B2%CE%BF%CF%8D%20%CE%B3%CE%B9%CE%B1%20%CE%B5%CE%BC%CE%B2%CE%BF%CE%BB%CE%B9%CE%B1%CF%83%CE%BC%CF%8C%20%CE%BA%CE%B1%CF%84%CE%AC%20%CF%84%CE%B7%CF%82%20COVID-19.pdf
Czech Republic,CZE,21/01/2021,10669709.00,185035,175559,9476,17197,11892,1.73,1.64,0.09,1110,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,21/01/2021,5818553.00,188622,179454,9168,3867,5838,3.26,3.1,0.16,1008,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
Ecuador,ECU,21/01/2021,17373662.00,0,0,,,,0,0,,,Pfizer/BioNTech,Government of Ecuador via Ecuacovid,https://github.com/andrab/ecuacovid
United Kingdom,,21/01/2021,66834405.00,5100475,4661293,439182,359897,272972,9.06,8.28,0.78,4850,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Estonia,EST,21/01/2021,1326590.00,21985,,,1507,1015,1.66,,,765,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-11-marts-oopaevaga-lisandus-1957-positiivset-testi
Finland,FIN,21/01/2021,5520314.00,78300,,,16239,6467,1.41,,,1167,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov?column=measure-533185.533172.433796.533175&row=cov_vac_dose-533174L
France,FRA,21/01/2021,67059887.00,850380,850380,,141407,77739,1.25,1.25,,1146,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Germany,DEU,21/01/2021,83132799.00,1603872,1455119,148753,100521,86574,1.91,1.74,0.18,1033,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Gibraltar,GIB,21/01/2021,34003.00,7947,7947,,930,527,23.59,23.59,,15642,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1370393963312582658
Greece,GRC,21/01/2021,10716322.00,125928,123667,2261,16097,7853,1.21,1.19,0.02,753,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Hungary,HUN,21/01/2021,9769949.00,144798,138983,5815,6214,5581,1.5,1.44,0.06,578,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/1-millio-293-ezer-beoltottak-szama-9444-az-uj-fertozott-es-elhunyt-163-beteg
Iceland,ISL,21/01/2021,361313.00,,,,,312,,,,914,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,21/01/2021,1366417754.00,1043534,1043534,,237050,173922,0.08,0.08,,126,"Covaxin, Oxford/AstraZeneca",Ministry of Health,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport12thMarch2021.pdf
Indonesia,IDN,21/01/2021,270203917.00,,,,,13200,,,,48,Sinovac,Ministry of Health,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html
Ireland,IRL,21/01/2021,5007069.00,,,,,6528,,,,1322,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Isle of Man,IMN,21/01/2021,84584.00,3558,,,,,4.18,,,,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man Government,https://covid19.gov.im/general-information/covid-19-vaccination-statistics/
Israel,ISR,21/01/2021,9053300.00,3416334,2518099,898235,233272,161229,39.47,29.09,10.38,18627,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,21/01/2021,60297396.00,1349821,1316293,33528,35091,47075,2.23,2.18,0.06,779,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
Jordan,JOR,21/01/2021,10101694.00,,,,,2727,,,,267,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Jordan,https://www.reuters.com/article/us-health-coronavirus-jordan/jordan-says-covid-19-vaccination-drive-to-accelerate-in-coming-weeks-idUSKBN2AP2VO
Kuwait,KWT,21/01/2021,4207083.00,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://twitter.com/KUWAIT_MOH/status/1368961318095626243
Latvia,LVA,21/01/2021,1912789.00,18731,16592,2139,279,275,0.99,0.88,0.11,146,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lithuania,LTU,21/01/2021,2786844.00,67994,58847,9147,1549,3618,2.5,2.16,0.34,1329,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Luxembourg,LUX,21/01/2021,619896.00,6897,6897,,704,523,1.1,1.1,,835,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://data.public.lu/fr/datasets/r/f56105f1-0330-416c-b16f-101b9ada3ba0
Malta,MLT,21/01/2021,502653.00,16531,16531,,1215,1206,3.74,3.74,,2731,Pfizer/BioNTech,COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
Mexico,MEX,21/01/2021,126014024.00,552335,534317,18018,51305,31765,0.43,0.41,0.01,246,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Secretary of Health,https://www.gob.mx/salud/prensa/106-remdesivir-podra-suministrarse-a-pacientes-covid-19-con-ciertas-especificaciones?idiom=es
Netherlands,NLD,21/01/2021,17332850.00,,,,,9945,,,,580,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma
Northern Cyprus,OWID_NCY,21/01/2021,#FIELD!,,,,,1284,,,,3359,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://cyprus-mail.com/2021/01/22/coronavirus-11000-vaccines-administered-in-the-north/
United Kingdom,,21/01/2021,66834405.00,173549,151039,22510,7011,5674,9.16,7.98,1.19,2996,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Norway,NOR,21/01/2021,5347896.00,77714,75793,1921,8596,4546,1.43,1.4,0.04,839,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Oman,OMN,21/01/2021,5266535.00,,,,,817,,,,160,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/OmaniMOH/status/1369577366708699140/photo/1
Panama,PAN,21/01/2021,4246439.00,2728,,,2087,1364,0.06,,,316,Pfizer/BioNTech,Ministry of Health,https://twitter.com/MINSAPma/status/1370521877278494720/photo/1
Poland,POL,21/01/2021,37970874.00,644999,605313,39686,53214,33503,1.7,1.6,0.1,885,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,21/01/2021,10269417.00,210471,186879,23592,33104,14194,2.06,1.83,0.23,1392,"Moderna, Pfizer/BioNTech",General Directorate of Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
Qatar,QAT,21/01/2021,2832067.00,,,,,1351,,,,469,Pfizer/BioNTech,National Strategic Group on COVID-19,https://twitter.com/MOPHQatar/status/1368573172711370756
Romania,ROU,21/01/2021,19356544.00,348096,338253,9843,39712,27690,1.81,1.76,0.05,1439,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
Russia,RUS,21/01/2021,144373535.00,,,,,103571,,,,710,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Saudi Arabia,SAU,21/01/2021,34268528.00,,,,,12948,,,,372,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://coronamap.sa
United Kingdom,,21/01/2021,66834405.00,363143,358454,4689,23806,19282,6.65,6.56,0.09,3529,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Serbia,SRB,21/01/2021,6944975.00,84832,84832,,40221,9528,1.25,1.25,,1400,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://www.rts.rs/page/stories/sr/%D0%9A%D0%BE%D1%80%D0%BE%D0%BD%D0%B0%D0%B2%D0%B8%D1%80%D1%83%D1%81/story/3134/koronavirus-u-srbiji/4292355/koronavirus-srbija-mere-vikend-zatvaranja.html
Seychelles,SYC,21/01/2021,97625.00,,,,,1718,,,,17470,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.facebook.com/mohseychellesofficial/photos/pcb.1682413525293105/1682413471959777/
Singapore,SGP,21/01/2021,5703569.00,,,,,5380,,,,920,Pfizer/BioNTech,Ministry of Health,https://www.moh.gov.sg/covid-19
Slovakia,SVK,21/01/2021,5454073.00,95573,93018,2555,7319,5913,1.75,1.7,0.05,1083,Pfizer/BioNTech,Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
Slovenia,SVN,21/01/2021,2087946.00,59822,51281,8541,4651,2386,2.88,2.47,0.41,1148,"Oxford/AstraZeneca, Pfizer/BioNTech","National Institute of Public Health, via Sledilnik",https://covid-19.sledilnik.org/en/stats
Spain,ESP,21/01/2021,47076781.00,1103301,1054245,49056,77364,61016,2.36,2.25,0.1,1305,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_GIV_comunicacion_20210312.ods
Sweden,SWE,21/01/2021,10285453.00,,,,,13639,,,,1350,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Turkey,TUR,21/01/2021,83429615.00,1120258,,,67765,120115,1.33,,,1424,Sinovac,COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Turks and Caicos Islands,TCA,21/01/2021,42953.00,,,,,222,,,,5734,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/posts/1892840824219198
United Arab Emirates,ARE,21/01/2021,9770529.00,2246069,,,84919,102605,22.71,,,10374,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,https://fcsc.gov.ae/en-us/Pages/Covid19/UAE-Covid-19-Updates.aspx
United Kingdom,GBR,21/01/2021,66834405.00,5849899,5383103,466796,412615,310246,8.62,7.93,0.69,4570,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
United States,USA,21/01/2021,328239523.00,17546374,15053257,2394961,1021093,913912,5.25,4.5,0.72,2733,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
United Kingdom,,21/01/2021,66834405.00,212732,212317,415,21901,12318,6.75,6.73,0.01,3907,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Albania,ALB,20/01/2021,2854191.00,519,519,,36,47,0.02,0.02,,16,Pfizer/BioNTech,Ministry of Health,https://shendetesia.gov.al/covid19-ministria-e-shendetesise-702-te-vaksinuar-3035-testime-714-te-sheruar-631-raste-te-reja-dhe-17-humbje-jete-ne-24-oret-e-fundit/
Argentina,ARG,20/01/2021,44938712.00,247933,243539,4394,,11586,0.55,0.54,0.01,256,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Austria,AUT,20/01/2021,8877067.00,169154,165263,3891,23079,14986,1.88,1.83,0.04,1664,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
Azerbaijan,AZE,20/01/2021,10023318.00,,,,,3250,,,,321,Sinovac,Government of Azerbaijan,https://koronavirusinfo.az/az/post/696
Bahrain,BHR,20/01/2021,1501635.00,,144130,,,7712,,8.47,,4532,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Belarus,BLR,20/01/2021,9466856.00,,,,,403,,,,43,Sputnik V,Ministry of Health,https://tkm.by/2021/02/immunizaciya-medrabotnikov-v-belarusi-pervym-komponentom-vakciny-sputnik-v-zavershilas/
Belgium,BEL,20/01/2021,11484055.00,175441,174728,713,21066,15129,1.51,1.51,0.01,1305,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Bermuda,BMU,20/01/2021,63918.00,,,,,222,,,,3565,Pfizer/BioNTech,Government of Bermuda,https://bernews.com/2021/03/27727-total-vaccinations-administered/
Brazil,BRA,20/01/2021,212559417.00,28543,28543,,17073,7136,0.01,0.01,,34,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
Bulgaria,BGR,20/01/2021,6975761.00,24127,19834,4293,1901,1013,0.35,0.29,0.06,146,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Canada,CAN,20/01/2021,37589262.00,696242,643014,53228,42589,39576,1.84,1.7,0.14,1049,"Moderna, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Cayman Islands,CYM,20/01/2021,71100.00,,,,,275,,,,4184,Pfizer/BioNTech,Cayman Islands Government,https://www.exploregov.ky/coronavirus-news
Chile,CHL,20/01/2021,18952038.00,61856,53490,8366,9309,7161,0.32,0.28,0.04,375,"Pfizer/BioNTech, Sinovac",Department of Statistics and Health Information,https://www.gob.cl/yomevacuno/
China,CHN,20/01/2021,1397715000.00,15000000,,,,714286,1.04,,,496,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",National Health Commission,https://global.chinadaily.com.cn/a/202103/03/WS603ec65ba31024ad0baac40f.html
Costa Rica,CRI,20/01/2021,5047561.00,,,,,2029,,,,398,Pfizer/BioNTech,Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Croatia,HRV,20/01/2021,4067500.00,,,,,3329,,,,811,Pfizer/BioNTech,Ministry of Health,https://www.rtl.hr/vijesti-hr/novosti/hrvatska/3994562/rtlhr-doznaje-evo-koliko-je-cijepljenih-u-hrvatskoj-i-kako-stojimo-u-odnosu-na-druge-zemlje/
Cyprus,CYP,20/01/2021,1198575.00,,,,,913,,,,1042,Pfizer/BioNTech,Government of Cyprus,https://www.pio.gov.cy/coronavirus/uploads/08032021--%CE%A1%CE%B1%CE%BD%CF%84%CE%B5%CE%B2%CE%BF%CF%8D%20%CE%B3%CE%B9%CE%B1%20%CE%B5%CE%BC%CE%B2%CE%BF%CE%BB%CE%B9%CE%B1%CF%83%CE%BC%CF%8C%20%CE%BA%CE%B1%CF%84%CE%AC%20%CF%84%CE%B7%CF%82%20COVID-19.pdf
Czech Republic,CZE,20/01/2021,10669709.00,167838,160085,7753,16145,11607,1.57,1.49,0.07,1084,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Denmark,DNK,20/01/2021,5818553.00,184755,177937,6818,3388,7841,3.19,3.07,0.12,1354,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Statens Serum Institut,https://covid19.ssi.dk/overvagningsdata/vaccinationstilslutning
United Kingdom,,20/01/2021,66834405.00,4740578,4303730,436848,320874,261507,8.42,7.65,0.78,4646,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Estonia,EST,20/01/2021,1326590.00,20478,,,1163,1000,1.54,,,754,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://www.terviseamet.ee/et/uudised/covid-19-blogi-11-marts-oopaevaga-lisandus-1957-positiivset-testi
Finland,FIN,20/01/2021,5520314.00,62061,,,6237,5562,1.12,,,1004,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov?column=measure-533185.533172.433796.533175&row=cov_vac_dose-533174L
France,FRA,20/01/2021,67059887.00,708973,708973,,123238,67598,1.05,1.05,,997,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
Germany,DEU,20/01/2021,83132799.00,1503351,1392336,111015,126229,83971,1.79,1.66,0.13,1002,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Gibraltar,GIB,20/01/2021,34003.00,7017,7017,,0,520,20.83,20.83,,15434,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1370393963312582658
Greece,GRC,20/01/2021,10716322.00,109831,108167,1664,15377,6414,1.05,1.04,0.02,615,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Hungary,HUN,20/01/2021,9769949.00,138584,134554,4030,5327,6069,1.43,1.39,0.04,628,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Hungary,https://koronavirus.gov.hu/cikkek/1-millio-293-ezer-beoltottak-szama-9444-az-uj-fertozott-es-elhunyt-163-beteg
Iceland,ISL,20/01/2021,361313.00,6205,5725,480,,63,1.82,1.68,0.14,185,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate of Health,https://www.covid.is/tolulegar-upplysingar-boluefni
India,IND,20/01/2021,1366417754.00,806484,806484,,131649,161297,0.06,0.06,,117,"Covaxin, Oxford/AstraZeneca",Ministry of Health,http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport12thMarch2021.pdf
Indonesia,IDN,20/01/2021,270203917.00,,,,,13200,,,,48,Sinovac,Ministry of Health,https://www.kemkes.go.id/article/view/21030300004/Situasi-Vaksinasi-COVID-19.html
Ireland,IRL,20/01/2021,5007069.00,121900,,,,6371,2.47,,,1290,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Heath Service Executive,https://covid19ireland-geohive.hub.arcgis.com/
Israel,ISR,20/01/2021,9053300.00,3183062,2448579,734483,219760,145867,36.77,28.29,8.49,16852,"Moderna, Pfizer/BioNTech",Government of Israel,https://datadashboard.health.gov.il/COVID-19/general
Italy,ITA,20/01/2021,60297396.00,1314730,1300735,13995,30023,55323,2.17,2.15,0.02,915,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Extraordinary commissioner for the Covid-19 emergency,https://github.com/italia/covid19-opendata-vaccini/blob/master/dati/somministrazioni-vaccini-summary-latest.csv
Jordan,JOR,20/01/2021,10101694.00,,,,,2727,,,,267,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Jordan,https://www.reuters.com/article/us-health-coronavirus-jordan/jordan-says-covid-19-vaccination-drive-to-accelerate-in-coming-weeks-idUSKBN2AP2VO
Kuwait,KWT,20/01/2021,4207083.00,,,,,1121,,,,262,Pfizer/BioNTech,Ministry of Health,https://twitter.com/KUWAIT_MOH/status/1368961318095626243
Latvia,LVA,20/01/2021,1912789.00,18452,16326,2126,770,235,0.98,0.87,0.11,125,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Service,https://data.gov.lv/dati/eng/dataset/covid19-vakcinacijas
Lithuania,LTU,20/01/2021,2786844.00,66445,57936,8509,3469,4629,2.44,2.13,0.31,1700,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Luxembourg,LUX,20/01/2021,619896.00,6193,6193,,899,475,0.99,0.99,,759,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://data.public.lu/fr/datasets/r/f56105f1-0330-416c-b16f-101b9ada3ba0
Malta,MLT,20/01/2021,502653.00,15316,15316,,1040,1204,3.47,3.47,,2727,Pfizer/BioNTech,COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
Mexico,MEX,20/01/2021,126014024.00,501030,489628,11402,2908,44066,0.39,0.38,0.01,342,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Secretary of Health,https://www.gob.mx/salud/prensa/106-remdesivir-podra-suministrarse-a-pacientes-covid-19-con-ciertas-especificaciones?idiom=es
Netherlands,NLD,20/01/2021,17332850.00,,,,,9945,,,,580,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://www.rivm.nl/covid-19-vaccinatie/cijfers-vaccinatieprogramma
Northern Cyprus,OWID_NCY,20/01/2021,#FIELD!,,,,,1163,,,,3043,"Pfizer/BioNTech, Sinovac",Ministry of Health,https://cyprus-mail.com/2021/01/22/coronavirus-11000-vaccines-administered-in-the-north/
United Kingdom,,20/01/2021,66834405.00,166538,144212,22326,6142,6404,8.79,7.62,1.18,3382,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Norway,NOR,20/01/2021,5347896.00,69118,67365,1753,10737,4528,1.27,1.24,0.03,835,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Oman,OMN,20/01/2021,5266535.00,29548,24773,4775,1499,971,0.58,0.49,0.09,190,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/OmaniMOH/status/1369577366708699140/photo/1
Panama,PAN,20/01/2021,4246439.00,641,,,641,641,0.01,,,149,Pfizer/BioNTech,Ministry of Health,https://twitter.com/MINSAPma/status/1370521877278494720/photo/1
